right_wrist_x,right_wrist_y,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_ip_x,right_thumb_ip_y,right_thumb_tip_x,right_thumb_tip_y,right_index_finger_mcp_x,right_index_finger_mcp_y,right_index_finger_pip_x,right_index_finger_pip_y,right_index_finger_dip_x,right_index_finger_dip_y,right_index_finger_tip_x,right_index_finger_tip_y,right_middle_finger_mcp_x,right_middle_finger_mcp_y,right_middle_finger_pip_x,right_middle_finger_pip_y,right_middle_finger_dip_x,right_middle_finger_dip_y,right_middle_finger_tip_x,right_middle_finger_tip_y,right_ring_finger_mcp_x,right_ring_finger_mcp_y,right_ring_finger_pip_x,right_ring_finger_pip_y,right_ring_finger_dip_x,right_ring_finger_dip_y,right_ring_finger_tip_x,right_ring_finger_tip_y,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_pip_x,right_pinky_pip_y,right_pinky_dip_x,right_pinky_dip_y,right_pinky_tip_x,right_pinky_tip_y,left_wrist_x,left_wrist_y,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_ip_x,left_thumb_ip_y,left_thumb_tip_x,left_thumb_tip_y,left_index_finger_mcp_x,left_index_finger_mcp_y,left_index_finger_pip_x,left_index_finger_pip_y,left_index_finger_dip_x,left_index_finger_dip_y,left_index_finger_tip_x,left_index_finger_tip_y,left_middle_finger_mcp_x,left_middle_finger_mcp_y,left_middle_finger_pip_x,left_middle_finger_pip_y,left_middle_finger_dip_x,left_middle_finger_dip_y,left_middle_finger_tip_x,left_middle_finger_tip_y,left_ring_finger_mcp_x,left_ring_finger_mcp_y,left_ring_finger_pip_x,left_ring_finger_pip_y,left_ring_finger_dip_x,left_ring_finger_dip_y,left_ring_finger_tip_x,left_ring_finger_tip_y,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_pip_x,left_pinky_pip_y,left_pinky_dip_x,left_pinky_dip_y,left_pinky_tip_x,left_pinky_tip_y
195,394,243,358,273,296,285,243,313,212,208,236,199,185,198,155,200,133,172,242,162,191,164,162,174,141,138,254,126,206,132,180,143,166,103,273,92,232,97,211,108,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,359,270,350,308,289,326,225,337,178,280,229,325,202,328,219,326,221,245,209,297,180,297,208,294,218,214,196,234,137,226,108,217,83,182,192,177,130,172,90,164,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,348,328,335,379,301,409,262,439,236,371,212,394,156,407,118,416,83,335,189,349,114,358,66,366,23,296,184,302,114,309,66,315,24,254,195,253,138,253,103,254,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,356,343,353,404,319,449,280,493,270,396,220,423,166,433,130,441,96,360,198,378,128,387,84,394,45,320,191,331,123,336,79,341,41,278,197,280,141,282,108,286,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,338,351,335,414,307,463,273,509,268,408,207,442,154,456,117,467,84,373,182,397,112,409,67,419,28,334,174,348,104,356,60,365,20,290,179,295,123,299,87,306,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,339,378,339,444,311,492,284,535,282,440,209,473,159,490,125,504,94,403,184,428,114,443,71,455,34,363,175,381,105,392,62,403,24,318,179,326,124,333,89,341,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,358,414,364,479,346,528,322,569,320,478,242,516,191,534,158,550,129,444,213,474,146,491,105,506,70,405,200,426,134,440,91,454,53,362,200,372,145,383,111,396,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,360,441,368,508,350,561,330,603,331,511,243,552,196,575,164,594,134,480,214,515,153,537,113,556,78,442,202,467,135,484,93,501,56,399,201,414,146,426,112,441,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,354,469,363,538,347,590,327,632,330,540,237,583,192,607,163,628,137,510,209,551,146,576,105,598,69,474,195,501,127,521,84,541,47,430,192,447,137,462,102,478,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,359,508,372,578,356,633,341,676,347,579,245,621,198,647,168,671,143,549,215,589,154,618,115,644,82,513,199,543,132,564,90,586,55,471,194,488,139,502,102,519,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,355,521,371,593,360,650,347,696,353,601,247,647,205,675,176,700,151,573,217,619,160,650,121,676,88,538,200,574,138,599,98,623,63,495,193,511,138,524,102,541,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,348,524,364,596,352,653,338,697,345,606,240,652,197,679,169,704,142,579,210,625,152,655,114,682,79,544,193,580,130,604,88,628,50,500,186,517,131,530,95,547,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,345,513,358,583,347,640,329,685,334,590,234,636,189,662,160,685,133,562,203,608,145,636,108,662,76,527,186,560,121,583,79,606,41,484,180,499,123,511,86,526,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,341,488,351,557,332,612,315,653,316,558,224,608,178,635,148,658,120,528,195,573,133,602,96,625,63,491,179,523,114,547,71,568,34,448,176,462,118,471,80,482,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,330,445,336,517,310,572,288,612,294,510,203,551,156,574,124,592,94,476,177,512,112,535,70,554,34,437,164,463,96,486,54,506,16,392,164,398,108,403,70,411,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,329,399,327,466,297,519,270,562,270,457,194,492,142,512,107,528,76,422,170,449,102,469,59,486,22,380,161,396,92,416,52,434,15,333,164,329,107,328,70,332,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,323,354,317,416,283,465,250,505,243,404,182,431,128,443,94,454,64,365,159,384,91,398,51,410,17,321,155,325,85,329,43,334,8,276,165,267,109,258,75,254,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,321,308,312,369,273,412,233,450,220,351,177,370,119,377,81,383,46,309,158,312,88,314,43,313,5,267,157,253,92,240,55,228,25,228,170,210,117,193,85,181,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
