right_wrist_x,right_wrist_y,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_ip_x,right_thumb_ip_y,right_thumb_tip_x,right_thumb_tip_y,right_index_finger_mcp_x,right_index_finger_mcp_y,right_index_finger_pip_x,right_index_finger_pip_y,right_index_finger_dip_x,right_index_finger_dip_y,right_index_finger_tip_x,right_index_finger_tip_y,right_middle_finger_mcp_x,right_middle_finger_mcp_y,right_middle_finger_pip_x,right_middle_finger_pip_y,right_middle_finger_dip_x,right_middle_finger_dip_y,right_middle_finger_tip_x,right_middle_finger_tip_y,right_ring_finger_mcp_x,right_ring_finger_mcp_y,right_ring_finger_pip_x,right_ring_finger_pip_y,right_ring_finger_dip_x,right_ring_finger_dip_y,right_ring_finger_tip_x,right_ring_finger_tip_y,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_pip_x,right_pinky_pip_y,right_pinky_dip_x,right_pinky_dip_y,right_pinky_tip_x,right_pinky_tip_y,left_wrist_x,left_wrist_y,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_ip_x,left_thumb_ip_y,left_thumb_tip_x,left_thumb_tip_y,left_index_finger_mcp_x,left_index_finger_mcp_y,left_index_finger_pip_x,left_index_finger_pip_y,left_index_finger_dip_x,left_index_finger_dip_y,left_index_finger_tip_x,left_index_finger_tip_y,left_middle_finger_mcp_x,left_middle_finger_mcp_y,left_middle_finger_pip_x,left_middle_finger_pip_y,left_middle_finger_dip_x,left_middle_finger_dip_y,left_middle_finger_tip_x,left_middle_finger_tip_y,left_ring_finger_mcp_x,left_ring_finger_mcp_y,left_ring_finger_pip_x,left_ring_finger_pip_y,left_ring_finger_dip_x,left_ring_finger_dip_y,left_ring_finger_tip_x,left_ring_finger_tip_y,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_pip_x,left_pinky_pip_y,left_pinky_dip_x,left_pinky_dip_y,left_pinky_tip_x,left_pinky_tip_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,280,1083,265,1038,236,1001,221,969,209,1057,169,1005,128,976,97,952,72,1057,179,984,157,930,149,889,142,1059,203,982,200,976,230,985,252,1060,237,1005,234,979,243,968,252
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,293,1089,286,1043,262,1006,248,979,244,1075,171,1027,131,1006,102,988,76,1086,178,1010,158,961,151,927,146,1090,199,1009,196,1000,229,1010,253,1086,229,1020,237,1013,261,1024,277
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,292,1104,272,1058,244,1017,230,985,224,1082,167,1027,125,1004,94,985,68,1086,177,1004,153,950,147,912,145,1083,200,996,196,990,230,1002,256,1074,231,1008,238,1002,261,1013,279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,303,1112,281,1063,257,1019,250,987,247,1089,169,1034,127,1013,95,994,66,1099,180,1015,160,964,152,928,145,1099,207,1010,198,1007,232,1019,255,1093,240,1026,243,1014,262,1017,273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,307,1112,289,1063,263,1020,254,989,249,1093,176,1038,134,1017,103,998,74,1102,186,1017,167,967,161,931,155,1101,209,1011,210,1013,246,1029,269,1095,238,1027,249,1026,272,1038,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,311,1109,298,1060,273,1018,258,985,248,1092,175,1036,134,1014,102,996,74,1101,184,1019,165,966,159,929,155,1102,209,1014,207,1010,243,1022,266,1097,241,1029,248,1025,272,1036,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,311,1108,296,1057,270,1014,256,984,246,1086,176,1031,133,1011,102,993,73,1096,185,1016,166,964,158,929,153,1099,209,1011,208,1007,243,1020,266,1095,240,1027,249,1023,272,1034,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,304,1100,293,1052,265,1013,247,987,238,1087,171,1034,130,1010,100,990,72,1098,180,1014,159,962,154,926,151,1100,202,1012,204,1004,238,1014,260,1096,232,1029,244,1021,267,1030,281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,299,1118,281,1066,254,1022,245,993,244,1096,165,1040,125,1015,96,996,68,1106,175,1023,155,971,148,933,142,1107,198,1019,200,1017,237,1029,261,1102,229,1034,239,1025,261,1031,276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,316,1110,304,1060,276,1021,261,993,253,1093,183,1041,141,1017,111,997,83,1106,191,1025,171,974,166,936,161,1109,213,1024,209,1019,244,1029,268,1104,242,1037,255,1033,280,1045,296
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,304,1118,291,1067,265,1026,252,994,246,1099,172,1043,130,1019,99,1000,71,1111,182,1026,161,973,155,936,151,1114,206,1022,203,1015,238,1026,261,1109,237,1037,245,1032,269,1045,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,310,1114,296,1068,271,1028,257,998,248,1099,176,1045,134,1022,103,1003,74,1111,186,1029,166,976,158,939,152,1114,210,1024,213,1018,251,1031,276,1110,241,1039,249,1032,274,1042,290
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,314,1113,301,1065,274,1027,257,998,244,1099,178,1045,136,1022,104,1001,74,1112,186,1030,166,977,160,939,154,1117,208,1024,211,1019,250,1032,275,1114,239,1041,251,1035,277,1047,293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,312,1112,302,1063,276,1025,260,995,247,1098,175,1043,133,1020,102,1000,74,1111,182,1027,164,976,158,939,152,1116,205,1025,206,1021,241,1033,264,1113,236,1042,249,1037,271,1048,283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,312,1112,298,1064,273,1024,258,995,248,1095,177,1041,136,1017,105,996,77,1109,185,1025,168,974,160,939,153,1115,208,1023,212,1020,247,1034,269,1113,239,1040,250,1035,272,1048,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,312,1113,300,1065,275,1027,259,996,247,1098,178,1043,135,1018,104,997,75,1112,183,1026,164,975,159,938,153,1117,206,1025,206,1022,241,1034,265,1114,236,1044,247,1033,268,1039,280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,312,1113,298,1067,274,1028,261,998,249,1099,177,1044,136,1020,105,999,77,1115,185,1030,166,977,160,941,154,1120,209,1029,208,1023,245,1036,268,1117,241,1043,249,1035,272,1047,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,312,1116,301,1067,276,1028,260,997,247,1102,178,1045,136,1020,105,999,77,1114,185,1030,165,979,159,941,154,1119,207,1028,206,1020,241,1030,265,1116,239,1046,247,1034,268,1041,281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,312,1111,302,1062,275,1024,258,995,246,1097,178,1043,136,1019,104,998,76,1113,185,1029,165,977,159,940,154,1118,208,1027,207,1018,241,1028,264,1116,239,1044,247,1036,268,1047,280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,313,1112,301,1064,276,1026,261,995,250,1098,179,1043,136,1018,105,995,77,1113,186,1029,166,976,160,938,154,1118,210,1026,209,1023,243,1036,265,1115,241,1042,248,1035,270,1047,283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,315,1113,305,1065,279,1027,262,999,248,1099,178,1044,136,1020,105,998,77,1114,185,1030,165,976,159,938,155,1119,208,1026,208,1021,242,1033,265,1115,239,1043,248,1038,270,1050,281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,315,1112,306,1064,280,1027,262,997,247,1100,177,1045,135,1021,104,999,76,1114,184,1030,164,977,158,939,154,1119,206,1027,206,1020,242,1031,266,1116,237,1043,248,1037,270,1048,283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,315,1114,304,1066,279,1027,262,996,248,1099,179,1044,137,1020,105,999,77,1114,185,1029,166,978,159,942,153,1120,207,1027,206,1024,241,1036,264,1118,238,1045,246,1037,268,1047,280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,315,1112,306,1064,280,1027,262,997,246,1100,178,1045,136,1021,104,999,76,1115,184,1029,165,977,160,939,155,1120,206,1027,207,1020,242,1030,266,1118,237,1045,247,1036,269,1044,281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,316,1112,306,1064,279,1026,262,995,247,1098,177,1044,136,1020,105,998,77,1113,184,1029,165,978,159,942,153,1119,206,1027,207,1021,242,1032,265,1116,237,1043,248,1038,271,1050,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,316,1111,307,1064,281,1027,263,997,247,1100,178,1045,136,1020,105,998,76,1114,184,1029,164,977,159,940,155,1118,206,1026,205,1019,242,1030,266,1114,236,1043,247,1036,271,1047,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,315,1112,305,1064,279,1027,263,997,248,1098,178,1044,137,1019,106,998,77,1114,185,1029,165,978,159,941,154,1119,207,1028,206,1021,241,1031,265,1117,238,1044,247,1037,271,1047,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,315,1112,306,1064,279,1026,262,997,249,1099,178,1043,137,1019,105,997,77,1114,185,1029,166,977,160,940,155,1119,207,1027,209,1022,244,1035,267,1115,238,1041,249,1038,273,1052,287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,315,1112,305,1065,279,1026,263,996,249,1099,177,1044,136,1018,105,996,78,1114,185,1030,166,977,160,940,155,1119,207,1028,208,1025,243,1038,264,1116,238,1042,249,1038,272,1051,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,314,1111,304,1065,279,1027,264,996,248,1097,178,1043,136,1018,105,996,78,1114,185,1029,166,976,160,940,154,1119,208,1027,207,1022,242,1034,264,1115,239,1044,249,1038,272,1048,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,314,1111,305,1064,280,1027,263,998,246,1097,178,1043,135,1019,104,998,75,1112,183,1027,165,975,160,938,155,1118,206,1026,208,1022,243,1034,267,1116,237,1044,248,1035,270,1043,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,315,1110,304,1064,279,1026,262,998,247,1096,178,1043,137,1018,105,997,77,1113,184,1028,166,975,161,938,156,1119,206,1027,206,1021,242,1032,265,1118,237,1045,247,1037,269,1046,283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,315,1111,304,1065,280,1027,263,998,247,1099,178,1044,137,1019,106,997,78,1113,184,1029,165,977,160,939,156,1118,206,1026,207,1019,242,1030,267,1114,237,1042,248,1034,272,1042,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,315,1111,306,1065,280,1028,263,996,248,1100,178,1045,137,1019,107,996,79,1114,184,1028,165,976,160,939,155,1119,206,1027,209,1023,245,1035,269,1115,237,1042,249,1035,274,1047,289
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,316,1112,305,1066,279,1029,262,996,247,1101,179,1045,138,1019,108,996,80,1114,186,1028,167,977,161,941,154,1118,208,1026,209,1022,245,1034,269,1114,239,1043,248,1037,273,1047,288
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,316,1111,308,1064,282,1026,265,997,247,1097,180,1043,138,1018,107,996,79,1112,185,1028,166,976,161,940,156,1118,206,1026,209,1023,244,1036,266,1115,236,1042,249,1038,273,1051,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,316,1112,307,1065,282,1027,264,997,247,1100,179,1044,136,1018,105,996,77,1113,185,1027,166,974,162,937,158,1117,207,1024,208,1019,244,1031,269,1112,237,1041,249,1035,273,1045,289
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,316,1112,307,1064,281,1027,264,997,248,1099,178,1044,138,1018,107,996,79,1114,185,1029,166,977,161,940,156,1118,206,1026,209,1021,245,1033,268,1115,237,1042,249,1035,274,1045,289
